;x;Species_Name;Family;Subfamily;Tribe;Genus;Species;Antenna
195;Anasa_bellator_CMF_0316;Anasa_bellator;Coreidae;Coreinae;Hypselonotini;Anasa;bellator;Straight
196;Anasa_varicornis_CMF_0005;Anasa_varicornis;Coreidae;Coreinae;Hypselonotini;Anasa;varicornis;Straight
197;Anasa_scorbutica_CMF_0169;Anasa_scorbutica;Coreidae;Coreinae;Hypselonotini;Anasa;scorbutica;Straight
198;Anisoscelis_alipes_CMF_0018;Anisoscelis_alipes;Coreidae;Coreinae;Anisoscelini;Anisoscelis;alipes;Straight
199;Anisoscelis_gradadius_CMF_0137;Anisoscelis_gradadius;Coreidae;Coreinae;Anisoscelini;Anisoscelis;gradadius;Straight
200;Chondrocera_laticornis_CMF_0662;Chondrocera_laticornis;Coreidae;Coreinae;Anisoscelini;Chondrocera;laticornis;Expansion
201;Holhymenia_sp_CMF_0051;Holhymenia_sp.;Coreidae;Coreinae;Anisoscelini;Holhymenia;sp.;Expansion
202;Holhymenia_tibialis_CMF_0801;Holhymenia_tibialis / clavigera;Coreidae;Coreinae;Anisoscelini;Holhymenia;tibialis / clavigera;Expansion
203;Chelinidea_tabulata_CMF_0233;Chelinidea_tabulata;Coreidae;Coreinae;Chelinideini;Chelinidea;tabulata;Expansion
204;Chelinidea_vittiger_CMF_0220;Chelinidea_vittiger;Coreidae;Coreinae;Chelinideini;Chelinidea;vittiger;Expansion
205;Plaxiscelis_limbata_CMF_0072;Plaxiscelis_limbata;Coreidae;Coreinae;Placoscelini;Plaxiscelis;limbata;Straight
206;Stenoeurilla_aenescens_CMF_0083;Stenoeurilla_aenescens;Coreidae;Coreinae;Placoscelini;Stenoeurilla;aenescens;Straight
207;Stenoeurilla_mesoamericana_CMF_0402;Stenoeurilla_mesoamericana;Coreidae;Coreinae;Placoscelini;Stenoeurilla;mesoamericana;Straight
208;Laminiceps_vergarae_CMF_0800;Laminiceps_vergarae;Coreidae;Coreinae;Acanthocephalini;Laminiceps;vergarae;Straight
209;Petalops_distinctus_CMF_0810;Petalops_distinctus;Coreidae;Coreinae;Acanthocephalini;Petalops;distinctus;Straight
210;Stenometapodus_ambiguus_CMF_0845;Stenometapodus_ambiguus;Coreidae;Coreinae;Acanthocephalini;Stenometapodus;ambiguus;Straight
211;Stenometapodus_v_luteum_CMF_0844;Stenometapodus_v-luteum;Coreidae;Coreinae;Acanthocephalini;Stenometapodus;v-luteum;Straight
212;Zygometapodus_castaneus_CMF_0798;Zygometapodus_castaneus;Coreidae;Coreinae;Acanthocephalini;Zygometapodus;castaneus;Straight
213;Acanthocephala_thomasi_CMF_0028;Acanthocephala_thomasi;Coreidae;Coreinae;Acanthocephalini;Acanthocephala;thomasi;Straight
