Species_name,Family,Subfamily,Tribe,Genus,Species,Antena_Ninfa
Elasmopoda_sp,Coreidae,Coreinae,Mictini,Elasmopoda,sp.,1
Mictis_longicornis,Coreidae,Coreinae,Mictini,Mictis,longicornis,1
Mictis_profana,Coreidae,Coreinae,Mictini,Mictis,profana,1
Molipteryx_lunata,Coreidae,Coreinae,Mictini,Molipteryx,lunata,1
Mygdonia_tuberculosa,Coreidae,Coreinae,Mictini,Mygdonia,tuberculosa,1
Plectropoda_cruciata,Coreidae,Coreinae,Mictini,Plectropoda,cruciata,0
Plectropoda_sp,Coreidae,Coreinae,Mictini,Plectropoda,sp.,0
Plectropodoides_dallastai,Coreidae,Coreinae,Mictini,Plectropodoides,dallastai,0
Prionolomia_yunnanensis,Coreidae,Coreinae,Mictini,Prionolomia,yunnanensis,0
Pternistria_bispina,Coreidae,Coreinae,Mictini,Pternistria,bispina,1
Grammopoecilus_angustatus,Coreidae,Coreinae,Nematopodini,Grammopoecilus,angustatus,0
Melucha_quadrivittis,Coreidae,Coreinae,Nematopodini,Melucha,quadrivittis,1
Mozena_lineolata,Coreidae,Coreinae,Nematopodini,Mozena,lineolata (lunata),1
Mozena_lurida,Coreidae,Coreinae,Nematopodini,Mozena,lurida,1
Nematopus_lepidus,Coreidae,Coreinae,Nematopodini,Nematopus,lepidus,1
Ouranion_serrulatus,Coreidae,Coreinae,Nematopodini,Ouranion,serrulatus,1
Piezogaster_calcarator,Coreidae,Coreinae,Nematopodini,Piezogaster,calcarator,1
Thasus_neocalifornicus,Coreidae,Coreinae,Nematopodini,Thasus,neocalifornicus,3
Thasus_sp,Coreidae,Coreinae,Nematopodini,Thasus,sp.,3
Petascelis_remipes,Coreidae,Coreinae,Petascelini,Petascelis,remipes,1
Pephricus_paradoxus,Coreidae,Coreinae,Phyllomorphini,Pephricus,paradoxus,0
Tongorma_latreillii,Coreidae,Coreinae,Phyllomorphini,Tongorma,latreillii,0
Plaxiscelis_limbata,Coreidae,Coreinae,Placoscelini,Plaxiscelis,limbata,0
Stenoeurilla_aenescens,Coreidae,Coreinae,Placoscelini,Stenoeurilla,aenescens,0
Stenoeurilla_mesoamericana,Coreidae,Coreinae,Placoscelini,Stenoeurilla,mesoamericana,0
Prionotylus_brevicornis,Coreidae,Coreinae,Prionotylini,Prionotylus,brevicornis,0
Sephina_geniculata,Coreidae,Coreinae,Spartocerini,Sephina,geniculata,0
Sephina_subulata,Coreidae,Coreinae,Spartocerini,Sephina,subulata,1
Spartocera_batatas,Coreidae,Coreinae,Spartocerini,Spartocera,batatas,1
Spartocera_fusca,Coreidae,Coreinae,Spartocerini,Spartocera,fusca,1
Hydara_tenuicornis,Coreidae,Hydarinae,,Hydara,tenuicornis,0
Hydarella_chiangdaoensis,Coreidae,Hydarinae,,Hydarella,chiangdaoensis,0
Hydaropsis_longirostris,Coreidae,Hydarinae,,Hydaropsis,longirostris,0
Madura_fuscoclavata,Coreidae,Hydarinae,,Madura,fuscoclavata,0
Maduranoides_chemsaki,Coreidae,Hydarinae,,Maduranoides,chemsaki,0
Merocoris_curtatus,Coreidae,Meropachyinae,Merocorini,Merocoris,curtatus,1
Merocoris_elevatus,Coreidae,Meropachyinae,Merocorini,Merocoris,elevatus,0
Merocoris_typhaeus,Coreidae,Meropachyinae,Merocorini,Merocoris,typhaeus,0
Lycambes_sargi,Coreidae,Meropachyinae,Spathophorini,Lycambes,sargi,0
Clavigralla_elongata,Coreidae,Pseudophloeinae,Clavigrallini,Clavigralla,elongata,0
Clavigralla_minor,Coreidae,Pseudophloeinae,Clavigrallini,Clavigralla,minor,0
Clavigralla_shadabi,Coreidae,Pseudophloeinae,Clavigrallini,Clavigralla,pusilla,0
Clavigralla_pusilla,Coreidae,Pseudophloeinae,Clavigrallini,Clavigralla,shadabi,0
Clavigralla_sp,Coreidae,Pseudophloeinae,Clavigrallini,Clavigralla,sp.,0
Clavigralloides_acantharis,Coreidae,Pseudophloeinae,Clavigrallini,Clavigralloides,acantharis,0
Gralliclava_horrens,Coreidae,Pseudophloeinae,Clavigrallini,Gralliclava,horrens,0
Gralliclava_sp,Coreidae,Pseudophloeinae,Clavigrallini,Gralliclava,sp.,0
Anoplocerus_luteus,Coreidae,Pseudophloeinae,Pseudophloeini,Anoplocerus,luteus,0
Arenocoris_waltlii,Coreidae,Pseudophloeinae,Pseudophloeini,Arenocoris,waltlii,1
Bathysolen_nubilus,Coreidae,Pseudophloeinae,Pseudophloeini,Bathysolen,nubilus,0
Ceraleptus_gracilicornis,Coreidae,Pseudophloeinae,Pseudophloeini,Ceraleptus,gracilicornis,0
Ceraleptus_obtusus,Coreidae,Pseudophloeinae,Pseudophloeini,Ceraleptus,obtusus,0
Coriomeris_affinis,Coreidae,Pseudophloeinae,Pseudophloeini,Coriomeris,affinis,0
Coriomeris_denticulatus,Coreidae,Pseudophloeinae,Pseudophloeini,Coriomeris,denticulatus,1
Coriomeris_nigricornis,Coreidae,Pseudophloeinae,Pseudophloeini,Coriomeris,nigricornis,0
Hoplolomia_scabricula,Coreidae,Pseudophloeinae,Pseudophloeini,Hoplolomia,scabricula,0
Mevanidea_hystrix,Coreidae,Pseudophloeinae,Pseudophloeini,Mevanidea,hystrix,0
Mevanidea_spiniceps,Coreidae,Pseudophloeinae,Pseudophloeini,Mevanidea,spiniceps,0
Myla_sp,Coreidae,Pseudophloeinae,Pseudophloeini,Myla,sp.,0
Nemocoris_falleni,Coreidae,Pseudophloeinae,Pseudophloeini,Nemocoris,falleni,0
Paramyla_suspecta,Coreidae,Pseudophloeinae,Pseudophloeini,Paramyla,suspecta,0
Pseudomyla_cornuta,Coreidae,Pseudophloeinae,Pseudophloeini,Pseudomyla,cornuta,0
Psilolomia_brunneofusca,Coreidae,Pseudophloeinae,Pseudophloeini,Psilolomia,brunneofusca,0
Psilolomia_parva,Coreidae,Pseudophloeinae,Pseudophloeini,Psilolomia,parva,0
Strobilotoma_typhaecornis,Coreidae,Pseudophloeinae,Pseudophloeini,Strobilotoma,typhaecornis,1
Vilga_dallasi,Coreidae,Pseudophloeinae,Pseudophloeini,Vilga,dallasi,0
Vilga_sanctipauli,Coreidae,Pseudophloeinae,Pseudophloeini,Vilga,sanctipauli,0
Vilga_westwoodi,Coreidae,Pseudophloeinae,Pseudophloeini,Vilga,westwoodi,0
Largus_sp,Largidae,Larginae,Largini,Largus,sp.,1
Oncopeltus_fasciatus_oncfas1,Lygaeidae,Lygaeinae,Lygaeini,Oncopeltus,fasciatus,1
nr_Oedancala_sp,Pachygronthidae,Pachygronthinae,Pachygronthini,Oedancala,sp.,1
Halyomorpha_halys_halhal1,Pentatomidae,Pentatominae,Cappaeini,Halyomorpha,halys,1
Dysdercus_mimus,Pyrrhocoridae,,,Dysdercus,mimus,0
Dysdercus_suturellus,Pyrrhocoridae,,,Dysdercus,suturellus,1
Harmostes_serratus,Rhopalidae,Rhopalinae,Harmostini,Harmostes,serratus,1
Jadera_haematoloma,Rhopalidae,Serinethinae,,Jadera,haematoloma,1
