Family,Subfamily,Tribe,Genus,Species,Rectilinear,Expanded,Nymph expanded,Link Observation,Link Observation 2,,
Coreidae,Coreinae,Anisoscelini,Anisoscelis,alipes,1,0,1,https://www.inaturalist.org/observations/194197443,https://www.inaturalist.org/observations/210078552,https://www.scielo.br/j/rbent/a/pTXrMYL8pFvgTQdC5DsyJDN/?lang=en,
Coreidae,Coreinae,Anisoscelini,Anisoscelis,gradadius,1,0,1,https://www.inaturalist.org/observations/141016000,https://www.inaturalist.org/observations/176507891,,
,,,Anisoscelis,marginellus,1,0,1,https://www.inaturalist.org/observations/112214732,https://www.inaturalist.org/observations/107068570,,
,,,Anisoscelis,foliaceus,1,0,1,https://www.inaturalist.org/observations/191974706,https://www.inaturalist.org/observations/67026718,,
Coreidae,Coreinae,Anisoscelini,Chondrocera,laticornis,0,1,0,https://www.inaturalist.org/observations/206491027,https://www.inaturalist.org/observations/63797283,,
Coreidae,Coreinae,Anisoscelini,Holhymenia,sp.,0,1,0,,,,
Coreidae,Coreinae,Anisoscelini,Holhymenia,tibialis / clavigera,0,1,0,https://www.inaturalist.org/observations/103555867,https://www.inaturalist.org/observations/55319608,,
,,,Holhymenia,histrio,0,1,0,https://www.inaturalist.org/photos/169636383,https://www.inaturalist.org/observations/203768707,,
Coreidae,Coreinae,Anisoscelini,Leptoglossus,ashmeadi,1,0,NA,https://www.inaturalist.org/observations/162672108,,,
Coreidae,Coreinae,Anisoscelini,Leptoglossus,clypealis,1,0,0,https://www.inaturalist.org/observations/209634055,https://www.inaturalist.org/observations/213995431,,
Coreidae,Coreinae,Anisoscelini,Leptoglossus,concolor,1,0,0,https://www.inaturalist.org/observations/4294445,https://www.inaturalist.org/observations/31682683,,
Coreidae,Coreinae,Anisoscelini,Leptoglossus,corculus,1,0,0,https://www.inaturalist.org/observations/214362450,https://www.inaturalist.org/observations/204863383,,
Coreidae,Coreinae,Anisoscelini,Leptoglossus,fulvicornis,1,0,0,https://www.inaturalist.org/observations/178857611,https://www.inaturalist.org/observations/132996448,,
Coreidae,Coreinae,Anisoscelini,Leptoglossus,gonagra,1,0,0,https://www.inaturalist.org/observations/200666287,https://www.inaturalist.org/observations/186022099,,
